Codename,Alias,Lat,Lon,ITEM2012,area,perimeter
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,151.0751953125,67.2627675896833
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,22421.3662109375,2258.55449112582
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,75.7314453125,37.9492706139429
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,499.98046875,178.408395698353
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,808.1416015625,300.119484149387
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,21474.212890625,3131.30322351111
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,16538.75,783.911704249341
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,871.47265625,137.027557627546
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,7.9306640625,13.5967936384632
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2825.8427734375,889.594356467069
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,26941.80078125,8490.61768951834
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,4559.548828125,1541.57997335435
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,40.9794921875,28.9740094335276
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2.365234375,9.36345643731238
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,77.94140625,38.2180855664152
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,10126.0361328125,3329.83960314264
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2296.6455078125,656.540434865967
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,994.4912109375,365.963236080369
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2020.5908203125,612.934057564472
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,67052.32421875,16687.9546089143
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,201.5615234375,78.5052569829719
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,2386.7060546875,838.274806563964
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,80.9443359375,62.8220695106591
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,52866.638671875,10668.436402661
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,437.7353515625,144.737738645001
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,33909.0849609375,7946.04978653839
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,3223.0126953125,944.229595597469
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,15398.625,3563.00218023073
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,964.451171875,166.054620092804
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,6134.4931640625,1902.4789832478
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,37772.3505859375,9312.12226282422
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,19842.3857421875,5755.33820276686
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,299.8125,112.158533015161
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,17931.5185546875,5335.86193127389
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,13935.162109375,3642.68866412721
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,20695.439453125,5548.89836719502
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,1270.6005859375,432.099538640002
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,7.2294921875,13.8137429588285
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,661.22265625,230.021317532636
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,14089.966796875,4503.69189360847
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,11360.4365234375,3180.56180948317
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,23386.8017578125,5161.76175927957
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,142.111328125,58.7354999918935
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,65.283203125,32.6093917232133
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,549.6240234375,194.716481687661
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,330.533203125,121.494998187574
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,3719.888671875,1280.21058061305
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,1096.7548828125,377.292120822001
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,624.17578125,190.82091086188
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,328.947265625,124.058120951314
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,7390.7431640625,1938.72683020333
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,2667.82421875,900.566010836887
