Color,Label
#800000,Continuous urban
#bf0000,Dense urban
#ff4040,Medium density urban
#ff8080,Low density urban
#ffbfbf,Very low density urban
#cc6666,Isolated structures
#cc4df2,Indust commerc publ milit priv
#e6cccc,Port
#734d37,Mineral extraction dump sites
#b9a56e,Construction sites
#874545,Without current use
#8cdc00,Green urban areas
#afd2a5,Sports and leisure
#ffffa8,Arable land
#f2a64d,Permanent crops
#e6e64d,Pastures
#008c00,Forests
#ccf24d,Herbaceous vegetation
#ccffcc,Little or no vegetation
#a6a6ff,Wetlands
#59cde2,Water
#ccffcc,Roads
#595959,Railways
#959595,Fast transit roads
